County,State,Accidents
Carter,MO,1
Carteret,NC,3
Carver,MN,297
Cascade,MT,6
Cass,MN,125
Cass,MO,69
Cass,NE,15
Cass,IA,20
Cass,ND,10
Cass,MI,34
Cass,IN,3
Cass,TX,1
Cass,IL,2
Cassia,ID,7
Caswell,NC,3
Catawba,NC,91
Catoosa,GA,63
Cattaraugus,NY,32
Cayuga,NY,103
Cecil,MD,191
Cedar,IA,36
Cedar,NE,5
Centre,PA,346
Cerro Gordo,IA,8
Chaffee,CO,58
Chambers,AL,17
Chambers,TX,15
Champaign,IL,16
Champaign,OH,4
Charles,MD,93
Charles City,VA,11
Charles Mix,SD,1
Charleston,SC,1790
Charlevoix,MI,6
Charlotte,FL,207
Charlotte,VA,13
Charlottesville,VA,27
Charlton,GA,15
Chase,KS,3
Chatham,GA,835
Chatham,NC,34
Chattahoochee,GA,5
Chattooga,GA,12
Chautauqua,NY,193
Chaves,NM,4
Cheatham,TN,39
Cheboygan,MI,8
Chelan,WA,4
Chemung,NY,4
Chenango,NY,16
Cherokee,SC,781
Cherokee,GA,314
Cherokee,AL,11
Cherokee,NC,6
Cherokee,KS,1
Cherokee,TX,1
Chesapeake,VA,584
Cheshire,NH,76
Chester,PA,656
Chester,SC,299
Chester,TN,2
Chesterfield,VA,890
Chesterfield,SC,288
Cheyenne,NE,7
Cheyenne,CO,9
Chickasaw,MS,1
Chickasaw,IA,4
Chicot,AR,2
Chilton,AL,671
Chippewa,MN,42
Chippewa,WI,37
Chippewa,MI,8
Chisago,MN,504
Chittenden,VT,52
Choctaw,AL,6
Choctaw,OK,1
Choctaw,MS,2
Chouteau,MT,1
Chowan,NC,4
Christian,KY,1
Christian,MO,6
Churchill,NV,154
Cibola,NM,30
Citrus,FL,164
Clackamas,OR,2140
Claiborne,LA,2
Claiborne,TN,2
Clallam,WA,47
Clare,MI,4
Clarendon,SC,309
Clarion,PA,34
Clark,WA,506
Clark,NV,53
Clark,IN,158
Clark,OH,70
Clark,AR,19
Clark,WI,8
Clark,KY,2
Clark,IL,4
Clark,ID,9
Clarke,AL,4
Clarke,VA,39
Clarke,MS,3
Clarke,GA,13
Clarke,IA,7
Clatsop,OR,915
Clay,FL,346
Clay,IN,15
Clay,MO,519
Clay,TX,2
Clay,NC,5
Clay,TN,1
Clay,MN,12
Clay,AL,3
Clay,IA,4
Clay,GA,3
Clay,WV,1
Clayton,GA,874
Clayton,IA,7
Clear Creek,CO,188
Clearfield,PA,255
Clearwater,MN,7
Clearwater,ID,2
Cleburne,AL,30
Cleburne,AR,3
Clermont,OH,54
Cleveland,OK,900
Cleveland,NC,30
Cleveland,AR,6
Clinton,PA,93
Clinton,OH,13
Clinton,MI,63
Clinton,MO,11
Clinton,NY,35
Clinton,IA,15
Clinton,IN,14
Clinton,IL,1
Coahoma,MS,3
Cobb,GA,1797
Cochise,AZ,45
Cocke,TN,23
Coconino,AZ,340
Coffee,AL,65
Coffee,TN,62
Coffee,GA,13
Colbert,AL,68
Cole,MO,6
Coleman,TX,2
Coles,IL,3
Colfax,NM,7
Colfax,NE,5
Colleton,SC,694
Collier,FL,405
Collin,TX,977
Colonial Heights,VA,85
Colorado,TX,4
Colquitt,GA,7
Columbia,PA,147
Columbia,GA,138
Columbia,NY,306
Columbia,FL,272
Columbia,OR,478
Columbia,WI,91
Columbia,AR,7
Columbiana,OH,7
Columbus,NC,19
Colusa,CA,173
Comal,TX,49
Comanche,OK,4
Comanche,TX,3
Concho,TX,3
Conecuh,AL,27
Conejos,CO,1
Contra Costa,CA,7440
Converse,WY,2
Conway,AR,13
Cook,IL,8533
Cook,GA,21
Cook,MN,1
Cooke,TX,3
Cooper,MO,5
Coos,OR,736
Coos,NH,30
Coosa,AL,3
Copiah,MS,7
Cortland,NY,16
Coryell,TX,1
Coshocton,OH,2
Costilla,CO,13
Cotton,OK,2
Cottonwood,MN,46
Covington,AL,19
Covington,VA,5
Covington,MS,2
Coweta,GA,232
Cowley,KS,1
Cowlitz,WA,118
Craig,OK,1
Craig,VA,1
Craighead,AR,15
Craven,NC,13
Crawford,PA,28
Crawford,GA,13
Crawford,IA,5
Crawford,AR,27
Crawford,MO,10
Crawford,OH,3
Crawford,MI,5
Crawford,WI,6
Crawford,IN,3
Creek,OK,34
Crenshaw,AL,22
Crisp,GA,8
Crittenden,AR,113
Crockett,TN,5
Crockett,TX,2
Crook,OR,236
Crook,WY,1
Crosby,TX,2
Cross,AR,2
Crow Wing,MN,196
Crowley,CO,7
Culberson,TX,3
Cullman,AL,325
Culpeper,VA,42
Cumberland,TN,58
Cumberland,ME,265
Cumberland,PA,321
Cumberland,NC,94
Cumberland,VA,10
Cumberland,NJ,83
Cumberland,IL,5
Cuming,NE,2
Currituck,NC,11
Curry,OR,360
Curry,NM,1
Custer,NE,2
Custer,CO,8
Custer,ID,6
Custer,MT,3
Custer,OK,1
Cuyahoga,OH,1895
Dade,GA,40
Daggett,UT,28
Dakota,MN,2650
Dakota,NE,4
Dale,AL,55
Dallas,TX,17283
Dallas,AL,14
Dallas,IA,126
Dallas,AR,4
Dane,WI,669
Danville,VA,6
Dare,NC,7
Darke,OH,20
Darlington,SC,641
Dauphin,PA,499
Davidson,TN,13108
Davidson,NC,80
Davie,NC,46
Daviess,MO,3
Daviess,IN,4
Daviess,KY,1
Davis,UT,2137
Davis,IA,1
Dawson,TX,4
Dawson,GA,17
Dawson,NE,10
Dawson,MT,1
De Baca,NM,1
De Soto,LA,1
De Witt,IL,1
Dearborn,IN,59
Decatur,TN,1
Decatur,IN,8
Decatur,IA,19
Decatur,GA,5
Deer Lodge,MT,1
Defiance,OH,1
DeKalb,GA,3321
DeKalb,IL,32
DeKalb,IN,10
DeKalb,AL,46
DeKalb,TN,4
DeKalb,MO,2
Del Norte,CA,112
Delaware,PA,581
Delaware,OH,921
Delaware,IN,42
Delaware,NY,32
Delaware,IA,3
Delaware,OK,1
Delta,CO,4
Delta,MI,1
Denton,TX,903
Denver,CO,5160
Des Moines,IA,10
Deschutes,OR,1957
Desha,AR,3
DeSoto,MS,121
DeSoto,FL,14
Deuel,NE,1
DeWitt,TX,1
Dickenson,VA,8
Dickinson,IA,3
Dickson,TN,44
Dillon,SC,436
Dinwiddie,VA,155
District of Columbia,DC,1484
Dixie,FL,9
Doña Ana,NM,35
Doddridge,WV,3
Dodge,NE,6
Dodge,MN,50
Dodge,WI,27
Dodge,GA,14
Dolores,CO,2
Dooly,GA,21
Do�a Ana,NM,10
Door,WI,2
Dorchester,SC,1292
Dorchester,MD,37
Dougherty,GA,23
Douglas,NV,261
Douglas,NE,3501
Douglas,CO,1450
Douglas,GA,308
Douglas,MN,111
Douglas,OR,2411
Douglas,WI,8
Douglas,WA,6
Douglas,KS,4
Drew,AR,3
Dubois,IN,5
Dubuque,IA,16
Duchesne,UT,161
Dukes,MA,2
Dundy,NE,1
Dunn,WI,38
DuPage,IL,3418
Duplin,NC,15
Durham,NC,577
Dutchess,NY,1165
Duval,FL,5036
Dyer,TN,9
Eagle,CO,132
Early,GA,3
East Baton Rouge,LA,11964
East Feliciana,LA,1
Eastland,TX,6
Eaton,MI,156
Eau Claire,WI,84
Echols,GA,2
Ector,TX,8
Eddy,NM,11
Edgecombe,NC,28
Edgefield,SC,122
Edmonson,KY,2
Edwards,TX,1
Edwards,KS,1
Effingham,GA,30
Effingham,IL,31
El Dorado,CA,965
El Paso,TX,3484
El Paso,CO,2052
Elbert,CO,30
Elbert,GA,17
Elk,PA,58
Elkhart,IN,27
Elko,NV,228
Ellis,TX,128
Ellis,KS,1
Ellsworth,KS,4
Elmore,AL,212
Elmore,ID,14
Emanuel,GA,17
Emery,UT,200
Emmet,MI,8
Emporia,VA,16
Erath,TX,3
Erie,NY,1905
Erie,PA,57
Erie,OH,15
Escambia,FL,1091
Escambia,AL,37
Esmeralda,NV,22
Essex,MA,1116
Essex,NJ,1449
Essex,VA,45
Essex,NY,26
Essex,VT,4
Etowah,AL,64
Eureka,NV,34
Evans,GA,3
Fairfax,VA,11
Fairfax City,VA,12
Fairfax County,VA,3326
Fairfield,CT,1435
Fairfield,SC,288
Fairfield,OH,69
Falls,TX,2
Fannin,TX,1
Faribault,MN,82
Faulkner,AR,13
Fauquier,VA,155
Fayette,KY,1052
Fayette,TX,6
Fayette,PA,25
Fayette,IN,9
Fayette,AL,3
Fayette,GA,57
Fayette,OH,10
Fayette,IL,5
Fayette,TN,32
Fayette,IA,8
Fayette,WV,8
Ferry,WA,1
Fillmore,MN,60
Fillmore,NE,1
Finney,KS,5
Flagler,FL,98
Flathead,MT,3
Fleming,KY,1
Florence,SC,1528
Floyd,IN,131
Floyd,VA,14
Floyd,GA,29
Floyd,IA,5
Fluvanna,VA,11
Fond du Lac,WI,41
Ford,IL,4
Forest,PA,2
Forest,WI,1
Forrest,MS,224
Forsyth,NC,616
Forsyth,GA,86
Fort Bend,TX,301
Fountain,IN,13
Franklin,MA,20
Franklin,OH,2979
Franklin,PA,104
Franklin,GA,46
Franklin,MO,85
Franklin,AL,9
Franklin,WA,3
Franklin,VT,17
Franklin,NC,21
Franklin,NY,18
Franklin,TN,3
Franklin,IA,2
Franklin,FL,5
Franklin,IL,19
Franklin,AR,7
Franklin,KY,4
Franklin,IN,11
Franklin,ID,4
Franklin,ME,8
Franklin,MS,2
Franklin City,VA,2
Franklin County,VA,85
Frederick,MD,1184
Frederick,VA,190
Fredericksburg,VA,76
Freeborn,MN,243
Freestone,TX,5
Fremont,IA,41
Fremont,CO,84
Fremont,WY,6
Fremont,ID,9
Fresno,CA,3551
Frio,TX,2
Frontier,NE,1
Fulton,GA,7799
Fulton,PA,45
Fulton,IN,3
Fulton,OH,9
Fulton,NY,11
Fulton,IL,2
Furnas,NE,2
Gadsden,FL,178
Gage,NE,2
Galax,VA,4
Gallatin,KY,6
Gallatin,MT,29
Gallatin,IL,1
Galveston,TX,175
Garfield,CO,83
Garfield,UT,184
Garland,AR,14
Garrett,MD,27
Garvin,OK,5
Gasconade,MO,5
Gaston,NC,180
Gates,NC,7
Geary,KS,3
Geauga,OH,211
Genesee,MI,5746
Genesee,NY,220
Geneva,AL,27
George,MS,7
Georgetown,SC,609
Gibson,IN,16
Gila,AZ,148
Gilchrist,FL,9
Giles,VA,18
Giles,TN,21
Gillespie,TX,5
Gilliam,OR,304
Gilmer,GA,20
Gilpin,CO,13
Glacier,MT,1
Glades,FL,20
Glascock,GA,1
Glasscock,TX,1
Glenn,CA,149
Gloucester,NJ,368
Gloucester,VA,106
Glynn,GA,61
Gogebic,MI,1
Golden Valley,MT,2
Gonzales,TX,11
Goochland,VA,119
Goodhue,MN,248
Gooding,ID,3
Gordon,GA,59
Grady,OK,4
Grady,GA,5
Grafton,NH,149
Graham,AZ,22
Graham,NC,3
Grainger,TN,2
Grand,UT,187
Grand,CO,30
Grand Forks,ND,1
Grand Isle,VT,2
Grand Traverse,MI,9
Grant,MN,36
Grant,WI,3
Grant,OR,362
Grant,KY,8
Grant,WA,17
Grant,IN,28
Grant,NM,2
Grant,AR,4
Granville,NC,39
Gratiot,MI,13
Gray,TX,1
Grays Harbor,WA,76
Grayson,VA,4
Grayson,TX,23
Green,WI,6
Green Lake,WI,2
Greenbrier,WV,3
Greene,NY,119
Greene,MO,628
Greene,GA,60
Greene,AL,56
Greene,PA,29
Greene,IN,7
Greene,VA,38
Greene,OH,59
Greene,MS,3
Greene,TN,33
Greene,IL,3
Greene,NC,4
Greene,AR,4
Greenlee,AZ,19
Greensville,VA,31
Greenup,KY,1
Greenville,SC,9819
Greenwood,SC,556
Greer,OK,1
Gregg,TX,44
Gregory,SD,1
Grenada,MS,2
Grimes,TX,1
Grundy,TN,15
Grundy,IL,25
Grundy,IA,5
Guadalupe,NM,18
Guadalupe,TX,53
Guernsey,OH,9
Guilford,NC,367
Gulf,FL,5
Gunnison,CO,31
Guthrie,IA,2
Gwinnett,GA,1238
Habersham,GA,51
Hale,AL,10
Hale,TX,3
Halifax,NC,48
Halifax,VA,40
Hall,GA,206
Hall,NE,7
Hall,TX,1
Hamblen,TN,8
Hamilton,OH,2141
Hamilton,TN,1253
Hamilton,IN,174
Hamilton,FL,108
Hamilton,IA,24
Hamilton,NE,9
Hamilton,NY,3
Hampden,MA,188
Hampshire,MA,29
Hampton,VA,295
Hampton,SC,126
Hampton City,VA,2
Hancock,IN,78
Hancock,MS,42
Hancock,OH,12
Hancock,WV,1
Hancock,ME,13
Hanover,VA,304
Haralson,GA,44
Hardee,FL,54
Hardeman,TN,4
Hardin,KY,9
Hardin,TN,2
Hardin,IA,5
Hardin,OH,1
Hardin,TX,1
Harford,MD,676
Harlan,NE,1
Harnett,NC,58
Harney,OR,239
Harris,TX,23903
Harris,GA,39
Harrison,TX,15
Harrison,IA,11
Harrison,MS,167
Harrison,IN,8
Harrison,OH,5
Harrison,MO,6
Harrison,WV,25
Harrisonburg,VA,44
Hart,GA,8
Hart,KY,7
Hartford,CT,1948
Hartley,TX,1
Haskell,TX,1
Hawkins,TN,8
Hays,TX,159
Haywood,NC,162
Haywood,TN,21
Heard,GA,12
Hempstead,AR,4
Henderson,NC,66
Henderson,TN,11
Henderson,TX,1
Henderson,IL,2
Hendricks,IN,120
Hendry,FL,36
Hennepin,MN,9850
Henrico,VA,2874
Henry,AL,20
Henry,IL,10
Henry,GA,529
Henry,VA,119
Henry,IN,53
Henry,KY,7
Henry,IA,4
Henry,OH,2
Henry,TN,1
Herkimer,NY,80
Hernando,FL,546
Hertford,NC,4
Hickman,TN,21
Hidalgo,TX,40
Hidalgo,NM,14
Highland,OH,8
Highlands,FL,142
Hill,TX,11
Hill,MT,1
Hillsborough,FL,4963
Hillsborough,NH,677
Hillsdale,MI,1
Hinds,MS,475
Hinsdale,CO,4
Hitchcock,NE,1
Hocking,OH,1
Hockley,TX,1
Hodgeman,KS,2
Hoke,NC,7
Holmes,MS,2
Holmes,FL,56
Holmes,OH,16
Holt,MO,6
Hood River,OR,295
Hopewell,VA,14
Hopkins,TX,4
Hopkins,KY,2
Horry,SC,3670
Hot Spring,AR,11
Houston,AL,265
Houston,GA,127
Houston,MN,29
Houston,TX,7
Houston,TN,2
Howard,MD,633
Howard,IN,145
Howard,TX,7
Howard,NE,2
Howard,IA,1
Howard,AR,4
Hubbard,MN,72
Hudson,NJ,893
Hudspeth,TX,8
Huerfano,CO,80
Humboldt,CA,467
Humboldt,NV,22
Humphreys,TN,16
Humphreys,MS,1
Hunt,TX,11
Hunterdon,NJ,201
Huntingdon,PA,89
Huntington,IN,16
Huron,MI,2
Huron,OH,1
Hutchinson,SD,3
Iberia,LA,1
Iberville,LA,57
Ida,IA,1
Idaho,ID,12
Imperial,CA,13
Independence,AR,2
Indian River,FL,114
Indiana,PA,17
Ingham,MI,329
Inyo,CA,104
Ionia,MI,34
Iosco,MI,7
Iowa,IA,37
Iowa,WI,10
Iredell,NC,274
Iron,UT,592
Iron,MO,1
Iroquois,IL,37
Irwin,GA,10
Isabella,MI,15
Isanti,MN,96
Island,WA,44
Isle of Wight,VA,99
Itasca,MN,103
Itawamba,MS,3
Jack,TX,1
Jackson,MN,98
Jackson,MO,2285
Jackson,GA,164
Jackson,MI,203
Jackson,OR,2275
Jackson,FL,221
Jackson,MS,178
Jackson,NC,15
Jackson,WI,19
Jackson,IN,56
Jackson,AL,44
Jackson,IA,2
Jackson,OH,1
Jackson,IL,1
Jackson,WV,17
Jackson,TX,1
Jackson,CO,6
Jackson,AR,1
James City,VA,36
Jasper,SC,433
Jasper,IN,42
Jasper,IA,44
Jasper,MO,50
Jasper,IL,1
Jasper,TX,3
Jay,IN,2
Jefferson,KY,3778
Jefferson,MO,464
Jefferson,LA,413
Jefferson,AL,3050
Jefferson,CO,1518
Jefferson,WI,54
Jefferson,TN,42
Jefferson,OR,535
Jefferson,WA,72
Jefferson,FL,23
Jefferson,PA,23
Jefferson,TX,17
Jefferson,AR,31
Jefferson,IL,33
Jefferson,ID,5
Jefferson,GA,15
Jefferson,NY,34
Jefferson,IA,3
Jefferson,MT,11
Jefferson,WV,2
Jefferson,IN,2
Jefferson,MS,1
Jefferson Davis,LA,20
Jefferson Davis,MS,1
Jenkins,GA,7
Jennings,IN,6
Jerome,ID,17
Jessamine,KY,5
Jim Wells,TX,2
Jo Daviess,IL,2
Johnson,TX,40
Johnson,KS,1170
Johnson,IA,149
Johnson,IN,85
Johnson,MO,1
Johnson,NE,1
Johnson,TN,1
Johnson,IL,6
Johnson,WY,2
Johnson,KY,1
Johnson,AR,1
Johnson,GA,1
Johnston,NC,439
Jones,MS,40
Jones,IA,15
Jones,GA,11
Jones,NC,2
Josephine,OR,1061
Juab,UT,288
Judith Basin,MT,4
Juneau,WI,42
Juniata,PA,12
Kalamazoo,MI,232
Kalkaska,MI,6
Kanabec,MN,34
Kanawha,WV,134
Kandiyohi,MN,119
Kane,IL,1436
Kane,UT,121
Kankakee,IL,8
Kaufman,TX,104
Kay,OK,9
Kearney,NE,1
Keith,NE,2
Kemper,MS,3
Kendall,TX,11
Kendall,IL,4
Kennebec,ME,58
Kenosha,WI,139
Kent,MI,2072
Kent,RI,475
Kent,MD,13
Kent,DE,30
Kenton,KY,1382
Keokuk,IA,2
Kern,CA,3464
Kerr,TX,4
Kershaw,SC,722
Kimball,NE,16
Kimble,TX,10
King,WA,7947
King and Queen,VA,5
King George,VA,74
King William,VA,20
Kings,NY,2355
Kings,CA,415
Kinney,TX,2
Kiowa,CO,11
Kit Carson,CO,14
Kitsap,WA,199
Kittitas,WA,35
Klamath,OR,1554
Klickitat,WA,17
Knox,TN,630
Knox,OH,7
Knox,IN,9
Knox,IL,7
Knox,ME,1
Koochiching,MN,24
Kootenai,ID,85
Kosciusko,IN,6
Kossuth,IA,2
La Crosse,WI,34
La Paz,AZ,104
La Plata,CO,9
La Porte,IN,1
La Salle,TX,5
Lac qui Parle,MN,6
Lackawanna,PA,119
Laclede,MO,14
Lafayette,LA,2591
Lafayette,MS,90
Lafayette,FL,4
Lafayette,MO,36
Lafayette,AR,1
Lafourche,LA,4
LaGrange,IN,3
Lake,CA,465
Lake,IN,637
Lake,FL,355
Lake,IL,4304
Lake,OH,60
Lake,OR,336
Lake,CO,12
Lake,MN,7
Lake,MT,5
Lake of the Woods,MN,4
Lamar,MS,159
Lamar,AL,9
Lamar,GA,8
Lamb,TX,5
Lamoille,VT,9
Lampasas,TX,2
Lancaster,PA,1848
Lancaster,SC,595
Lancaster,VA,16
Lancaster,NE,47
Lander,NV,25
Lane,OR,2914
Langlade,WI,2
Lanier,GA,2
Lapeer,MI,38
LaPorte,IN,41
Laramie,WY,12
Larimer,CO,463
Larue,KY,1
Las Animas,CO,95
LaSalle,IL,35
Lassen,CA,133
Latah,ID,12
Lauderdale,MS,15
Lauderdale,AL,21
Laurel,KY,3
Laurens,SC,673
Laurens,GA,32
Lawrence,AL,24
Lawrence,PA,36
Lawrence,TN,8
Lawrence,MO,11
Lawrence,OH,2
Lawrence,AR,10
Lawrence,IN,1
Le Flore,OK,2
Le Sueur,MN,82
Lea,NM,18
Leavenworth,KS,5
Lebanon,PA,175
Lee,FL,2515
Lee,SC,237
Lee,AL,206
Lee,VA,8
Lee,GA,25
Lee,NC,17
Lee,IA,4
Lee,KY,1
Lee,MS,16
Lee,IL,17
Leelanau,MI,4
Leflore,MS,1
Lehigh,PA,427
Lemhi,ID,2
Lenawee,MI,20
Lenoir,NC,17
Leon,FL,859
Leon,TX,2
Leslie,KY,1
Levy,FL,45
Lewis,TN,3
Lewis,WA,72
Lewis,WV,10
Lewis,ID,3
Lewis,NY,14
Lewis and Clark,MT,6
Lexington,SC,3908
Liberty,GA,47
Liberty,FL,7
Liberty,TX,5
Licking,OH,141
Limestone,AL,772
Lincoln,NE,12
Lincoln,WA,10
Lincoln,TN,9
Lincoln,OR,737
Lincoln,NM,6
Lincoln,OK,9
Lincoln,WI,4
Lincoln,LA,2
Lincoln,NV,51
Lincoln,MO,11
Lincoln,NC,29
Lincoln,CO,15
Lincoln,MS,4
Lincoln,WY,3
Lincoln,ID,2
Lincoln,AR,1
Lincoln,ME,1
Linn,IA,169
Linn,OR,1538
Linn,MO,1
Litchfield,CT,93
Live Oak,TX,1
Livingston,MI,284
Livingston,IL,10
Livingston,LA,75
Livingston,NY,33
Livingston,MO,1
Llano,TX,1
Logan,IL,13
Logan,CO,11
Logan,OH,6
Logan,OK,3
Logan,WV,5
Logan,ND,1
Logan,AR,1
Lonoke,AR,30
Lorain,OH,51
Los Angeles,CA,67118
Loudon,TN,46
Loudoun,VA,1168
Louisa,VA,77
Louisa,IA,2
Love,OK,3
Loving,TX,1
Lowndes,AL,120
Lowndes,GA,67
Lowndes,MS,6
Lubbock,TX,4
Lucas,OH,343
Lucas,IA,6
Luce,MI,1
Lumpkin,GA,5
Luna,NM,19
Lunenburg,VA,20
Luzerne,PA,123
Lycoming,PA,231
Lyman,SD,1
Lynchburg,VA,17
Lyon,MN,102
Lyon,NV,198
Lyon,KS,13
Lyon,KY,1
Lyon,IA,1
Mackinac,MI,5
Macomb,MI,1107
Macon,AL,165
Macon,NC,5
Macon,IL,8
Macon,TN,4
Macon,GA,4
Macon-Bibb County,GA,254
Madera,CA,885
Madison,FL,87
Madison,AL,2884
Madison,IL,110
Madison,VA,16
Madison,NY,66
Madison,OH,56
Madison,NC,11
Madison,MS,88
Madison,IN,84
Madison,TN,33
Madison,KY,11
Madison,IA,6
