County,State,Accidents
Bear Lake,ID,3
Beaufort,SC,305
Beaufort,NC,7
Beauregard,LA,2
Beaver,PA,70
Beaver,UT,65
Becker,MN,54
Beckham,OK,1
Bedford,PA,137
Bedford,TN,4
Bedford,VA,1
Bedford County,VA,31
Bee,TX,1
Belknap,NH,53
Bell,TX,8
Belmont,OH,7
Beltrami,MN,78
Benewah,ID,4
Bennington,VT,1
Bent,CO,4
Benton,OR,83
Benton,WA,7
Benton,MN,112
Benton,MS,1
Benton,IA,2
Benton,TN,2
Benton,AR,1
Benzie,MI,4
Bergen,NJ,916
Berkeley,SC,898
Berkeley,WV,32
Berks,PA,356
Berkshire,MA,20
Bernalillo,NM,422
Berrien,MI,49
Berrien,GA,1
Bertie,NC,3
Bexar,TX,2697
Bibb,AL,5
Bibb,GA,50
Bienville,LA,2
Bingham,ID,4
Black Hawk,IA,8
Bladen,NC,13
Blair,PA,37
Blanco,TX,1
Bland,VA,17
Bleckley,GA,3
Bledsoe,TN,1
Blount,AL,261
Blount,TN,6
Blue Earth,MN,280
Boise,ID,1
Bond,IL,4
Bonner,ID,6
Bonneville,ID,19
Boone,MO,25
Boone,IN,148
Boone,IL,21
Boone,IA,4
Boone,KY,54
Bossier,LA,57
Botetourt,VA,83
Boulder,CO,105
Boundary,ID,4
Bowie,TX,3
Box Butte,NE,2
Box Elder,UT,252
Bradford,PA,8
Bradford,FL,10
Bradley,TN,44
Branch,MI,1
Braxton,WV,2
Brazoria,TX,42
Bremer,IA,1
Brevard,FL,873
Bristol,MA,329
Bristol,VA,7
Bristol,RI,7
Bronx,NY,1578
Brooks,TX,1
Brooks,GA,2
Broome,NY,153
Broomfield,CO,52
Broward,FL,3712
Brown,WI,94
Brown,OH,2
Brown,MN,59
Brunswick,VA,35
Brunswick,NC,34
Bryan,GA,40
Buchanan,VA,5
Buchanan,MO,4
Buchanan,IA,2
Buckingham,VA,5
Bucks,PA,444
Buena Vista,IA,1
Buffalo,NE,5
Bullitt,KY,12
Bulloch,GA,19
Bullock,AL,7
Buncombe,NC,412
Bureau,IL,3
Burke,GA,4
Burke,NC,34
Burleson,TX,1
Burlington,NJ,514
Burnet,TX,1
Burt,NE,2
Butler,AL,42
Butler,PA,36
Butler,OH,64
Butler,KS,2
Butte,CA,353
Butte,ID,3
Butts,GA,47
Cabarrus,NC,183
Cabell,WV,4
Cache,UT,24
Caddo,LA,723
Calaveras,CA,239
Calcasieu,LA,94
Caldwell,TX,14
Caldwell,NC,4
Caledonia,VT,5
Calhoun,SC,117
Calhoun,MI,39
Calhoun,AL,24
Calhoun,FL,15
Calhoun,GA,1
Calhoun,IA,2
Callahan,TX,1
Callaway,MO,4
Calumet,WI,1
Calvert,MD,17
Cambria,PA,84
Camden,NJ,873
Camden,GA,11
Camden,MO,1
Cameron,TX,6
Campbell,TN,17
Campbell,KY,64
Campbell,VA,35
Canadian,OK,335
Canyon,ID,27
Cape Girardeau,MO,1
Cape May,NJ,56
Carbon,PA,93
Carbon,UT,79
Carbon,WY,2
Carlton,MN,108
Caroline,MD,38
Caroline,VA,44
Carroll,VA,28
Carroll,NH,16
Carroll,GA,78
Carroll,MD,72
Carroll,IN,1
Carroll,KY,3
Carroll,IL,3
Carroll,TN,1
Carson,TX,1
Carson City,NV,80
Carter,KY,2
Carter,TN,8
Carter,OK,2
Carteret,NC,1
Carver,MN,235
Cass,MO,47
Cass,MN,124
Cass,IA,20
Cass,NE,6
Cass,IN,1
Cass,MI,2
Cassia,ID,9
Caswell,NC,1
Catawba,NC,74
Catoosa,GA,26
Cattaraugus,NY,19
Cayuga,NY,39
Cecil,MD,123
Cedar,IA,16
Centre,PA,125
Cerro Gordo,IA,6
Chaffee,CO,31
Chambers,AL,15
Chambers,TX,3
Champaign,IL,11
Champaign,OH,2
Charles,MD,57
Charles City,VA,9
Charleston,SC,736
Charlevoix,MI,2
Charlotte,FL,133
Charlotte,VA,2
Charlottesville,VA,10
Chase,KS,1
Chatham,GA,448
Chatham,NC,28
Chattahoochee,GA,3
Chattooga,GA,4
Chautauqua,NY,65
Chaves,NM,2
Cheatham,TN,25
Cheboygan,MI,1
Chelan,WA,4
Chenango,NY,3
Cherokee,SC,398
Cherokee,GA,138
Cherokee,NC,3
Cherokee,OK,1
Cherokee,AL,6
Cherokee,IA,9
Chesapeake,VA,298
Cheshire,NH,46
Chester,PA,1518
Chester,SC,122
Chesterfield,VA,1973
Chesterfield,SC,145
Cheyenne,CO,7
Cheyenne,NE,3
Chilton,AL,217
Chippewa,WI,8
Chippewa,MN,43
Chisago,MN,299
Chittenden,VT,18
Chowan,NC,1
Christian,MO,10
Christian,IL,1
Christian,KY,3
Churchill,NV,37
Cibola,NM,16
Citrus,FL,80
Clackamas,OR,1091
Clallam,WA,32
Clare,MI,2
Clarendon,SC,170
Clarion,PA,14
Clark,IN,72
Clark,WA,267
Clark,NV,23
Clark,OH,46
Clark,IL,2
Clark,WI,6
Clarke,GA,16
Clarke,VA,9
Clarke,AL,1
Clarke,IA,4
Clatsop,OR,346
Clay,IN,6
Clay,MO,257
Clay,WV,2
Clay,TN,1
Clay,FL,161
Clay,TX,3
Clay,AL,4
Clay,NC,2
Clay,MN,3
Clay,GA,1
Clay,IA,2
Clayton,GA,388
Clayton,IA,4
Clear Creek,CO,77
Clearfield,PA,129
Clearwater,ID,1
Clearwater,MN,9
Cleburne,AL,14
Cleburne,AR,1
Clermont,OH,48
Cleveland,OK,381
Cleveland,NC,23
Cleveland,AR,2
Clinton,PA,82
Clinton,MO,2
Clinton,MI,6
Clinton,NY,6
Clinton,IN,2
Clinton,IA,1
Clinton,OH,13
Clinton,IL,1
Coahoma,MS,1
Cobb,GA,809
Cochise,AZ,9
Cocke,TN,10
Coconino,AZ,91
Coffee,AL,45
Coffee,TN,28
Coffee,GA,5
Colbert,AL,35
Coleman,TX,1
Coles,IL,2
Colfax,NE,1
Colfax,NM,1
Colleton,SC,280
Collier,FL,233
Collin,TX,415
Colonial Heights,VA,26
Colorado,TX,2
Colquitt,GA,3
Columbia,GA,43
Columbia,NY,102
Columbia,FL,125
Columbia,WI,40
Columbia,OR,266
Columbia,PA,77
Columbiana,OH,3
Columbus,NC,23
Colusa,CA,154
Comal,TX,37
Comanche,OK,2
Concho,TX,2
Conecuh,AL,13
Contra Costa,CA,5047
Converse,WY,1
Conway,AR,3
Cook,IL,6133
Cook,GA,4
Cook,MN,1
Cooke,TX,2
Cooper,MO,5
Coos,OR,260
Coos,NH,14
Coosa,AL,6
Copiah,MS,5
Cortland,NY,12
Cottonwood,MN,80
County,State,0
Covington,AL,10
Covington,MS,1
Covington,VA,2
Coweta,GA,98
Cowlitz,WA,77
Craig,OK,1
Craighead,AR,5
Craven,NC,28
Crawford,MO,4
Crawford,OH,3
Crawford,IN,9
Crawford,PA,6
Crawford,GA,3
Crawford,AR,2
Creek,OK,24
Crenshaw,AL,9
Crisp,GA,1
Crittenden,AR,58
Crockett,TN,3
Crook,OR,84
Cross,AR,1
Crow Wing,MN,110
Crowley,CO,3
Culberson,TX,5
Cullman,AL,213
Culpeper,VA,13
Cumberland,PA,263
Cumberland,NC,59
Cumberland,TN,19
Cumberland,IL,5
Cumberland,NJ,60
Cumberland,ME,64
Cumberland,VA,2
Currituck,NC,8
Curry,OR,154
Custer,CO,3
Cuyahoga,OH,1587
Dade,GA,11
Daggett,UT,23
Dakota,MN,1526
Dakota,NE,1
Dale,AL,52
Dallam,TX,1
Dallas,TX,8077
Dallas,IA,28
Dallas,MO,1
Dallas,AL,6
Dane,WI,299
Dare,NC,1
Darke,OH,4
Darlington,SC,233
Dauphin,PA,306
Davidson,TN,6927
Davidson,NC,88
Davie,NC,67
Daviess,IN,1
Davis,UT,926
Dawson,GA,7
Dawson,NE,2
De Soto,LA,4
De Soto,FL,8
De Witt,IL,1
Deaf Smith,TX,1
Dearborn,IN,26
Decatur,GA,1
Decatur,TN,3
Decatur,IA,5
Decatur,IN,3
Defiance,OH,1
DeKalb,GA,1550
DeKalb,IL,28
DeKalb,AL,15
DeKalb,MO,1
Del Norte,CA,121
Delaware,PA,396
Delaware,OH,396
Delaware,NY,8
Delaware,IN,19
Delaware,IA,1
Delta,CO,4
Delta,MI,1
Denton,TX,424
Denver,CO,2698
Deschutes,OR,999
DeSoto,MS,67
DeSoto,FL,18
Deuel,NE,3
Dickens,TX,1
Dickinson,MI,2
Dickson,TN,20
Dillon,SC,188
Dimmit,TX,1
Dinwiddie,VA,43
District of Columbia,DC,1168
Dixie,FL,3
Doña Ana,NM,17
Dodge,MN,75
Dodge,NE,13
Dodge,WI,8
Dodge,GA,3
Dolores,CO,1
Dooly,GA,21
Dorchester,SC,560
Dorchester,MD,55
Dougherty,GA,5
Douglas,CO,644
Douglas,NE,931
Douglas,OR,961
Douglas,NV,119
Douglas,IL,2
Douglas,GA,137
Douglas,MN,142
Douglas,WA,6
Douglas,WI,1
Drew,AR,2
Dubuque,IA,6
Duchesne,UT,43
Dunklin,MO,1
Dunn,WI,15
DuPage,IL,3316
Duplin,NC,13
Durham,NC,334
Dutchess,NY,472
Duval,FL,2092
Dyer,TN,3
Eagle,CO,69
Early,GA,1
East Baton Rouge,LA,4085
Eaton,MI,58
Eau Claire,WI,24
Ector,TX,4
Edgecombe,NC,8
Edgefield,SC,70
Effingham,IL,9
Effingham,GA,17
El Dorado,CA,902
El Paso,CO,1264
El Paso,TX,1954
Elbert,GA,1
Elbert,CO,2
Elk,PA,26
Elkhart,IN,2
Elko,NV,86
Ellis,TX,72
Elmore,AL,160
Elmore,ID,3
Emanuel,GA,4
Emery,UT,83
Emmet,MI,4
Emporia,VA,5
Erath,TX,1
Erie,NY,682
Erie,OH,10
Erie,PA,70
Escambia,FL,651
Escambia,AL,9
Esmeralda,NV,7
Essex,NJ,1051
Essex,MA,705
Essex,VA,6
Essex,NY,10
Essex,VT,3
Etowah,AL,15
Eureka,NV,25
Evans,GA,2
Fairfax,VA,97
Fairfax City,VA,18
Fairfax County,VA,2106
Fairfield,CT,800
Fairfield,SC,124
Fairfield,OH,40
Falls,TX,1
Faribault,MN,86
Faulkner,AR,9
Fauquier,VA,149
Fayette,KY,452
Fayette,TN,37
Fayette,OH,5
Fayette,IL,3
Fayette,AL,5
Fayette,GA,18
Fayette,TX,2
Fayette,PA,6
Fayette,WV,2
Ferry,WA,1
Fillmore,MN,61
Flagler,FL,63
Flathead,MT,1
Florence,SC,612
Floyd,IN,61
Floyd,GA,8
Floyd,VA,1
Fluvanna,VA,3
Fond du Lac,WI,25
Forest,PA,1
Forrest,MS,55
Forsyth,NC,736
Forsyth,GA,22
Fort Bend,TX,95
Fountain,IN,4
Franklin,MO,45
Franklin,OH,1856
Franklin,PA,104
Franklin,GA,17
Franklin,NY,8
Franklin,AL,2
Franklin,WA,3
Franklin,IL,13
Franklin,MA,9
Franklin,NC,40
Franklin,FL,3
Franklin,VT,11
Franklin,IN,1
Franklin,IA,2
Franklin,TN,1
Franklin,ME,3
Franklin County,VA,21
Frederick,VA,89
Frederick,MD,512
Fredericksburg,VA,47
Fredericksburg City,VA,3
Freeborn,MN,306
Fremont,CO,29
Fremont,IA,6
Fremont,ID,3
Fresno,CA,3381
Fulton,GA,2793
Fulton,PA,61
Fulton,OH,11
Fulton,NY,1
Gadsden,FL,39
Gage,NE,1
Galveston,TX,69
Garfield,CO,58
Garfield,UT,39
Garfield,OK,1
Garland,AR,2
Garrett,MD,8
Garvin,OK,4
Garza,TX,1
Gaston,NC,160
Gates,NC,1
Geary,KS,1
Geauga,OH,110
Genesee,MI,1346
Genesee,NY,109
Geneva,AL,20
George,MS,3
Georgetown,SC,221
Gibson,IN,2
Gila,AZ,48
Gilchrist,FL,7
Giles,TN,8
Giles,VA,2
Gillespie,TX,2
Gilliam,OR,130
Gilmer,GA,2
Gilpin,CO,7
Glades,FL,9
Glenn,CA,139
Gloucester,NJ,364
Gloucester,VA,28
Glynn,GA,27
Gogebic,MI,1
Goliad,TX,1
Gonzales,TX,3
Goochland,VA,78
Goodhue,MN,219
Gooding,ID,6
Gordon,GA,23
Grafton,NH,59
Graham,AZ,7
Graham,NC,3
Grand,UT,66
Grand,CO,7
Grand Isle,VT,1
Grant,IN,8
Grant,WI,7
Grant,NM,2
Grant,MN,29
Grant,KY,3
Grant,OR,201
Grant,WA,7
Granville,NC,34
Gratiot,MI,10
Grays Harbor,WA,54
Grayson,TX,13
Grayson,VA,1
Green,WI,3
Green Lake,WI,4
Greenbrier,WV,3
Greene,NY,51
Greene,MO,233
Greene,OH,59
Greene,TN,6
Greene,AL,19
Greene,GA,16
Greene,VA,12
Greene,PA,4
Greene,NC,5
Greenlee,AZ,6
Greensville,VA,13
Greenville,SC,4993
Greenwood,SC,229
Greer,OK,1
Gregg,TX,8
Grundy,IL,49
Grundy,TN,4
Grundy,IA,1
Guadalupe,TX,25
Guadalupe,NM,6
Guernsey,OH,3
Guilford,NC,781
Gulf,FL,4
Gunnison,CO,14
Gwinnett,GA,437
Habersham,GA,7
Hale,AL,3
Halifax,NC,39
Halifax,VA,19
Hall,GA,51
Hall,NE,4
Hamblen,TN,5
Hamilton,OH,1906
Hamilton,TN,934
Hamilton,IN,72
Hamilton,FL,33
Hamilton,IA,9
Hamilton,NY,3
Hampden,MA,113
Hampshire,MA,16
Hampshire,WV,1
Hampton,VA,204
Hampton,SC,52
Hampton City,VA,1
Hancock,MS,11
Hancock,IN,39
Hancock,OH,5
Hancock,GA,2
Hancock,ME,1
Hanover,VA,150
Haralson,GA,6
Hardee,FL,68
Hardeman,TN,1
Hardin,KY,4
Hardin,TX,1
Harford,MD,315
Harnett,NC,68
Harney,OR,92
Harris,TX,8608
Harris,GA,16
Harrison,MS,72
Harrison,IN,5
Harrison,IA,5
Harrison,WV,5
Harrison,TX,3
Harrisonburg,VA,36
Hart,GA,2
Hart,KY,4
Hartford,CT,1071
Harvey,KS,2
Hawkins,TN,4
Hays,TX,96
Haywood,NC,117
Haywood,TN,13
Heard,GA,8
Henderson,NC,94
Henderson,IL,1
Henderson,KY,1
Henderson,TN,3
Hendricks,IN,69
Hendry,FL,43
Hennepin,MN,5301
Henrico,VA,2281
Henry,GA,255
Henry,IN,44
Henry,IL,13
Henry,VA,40
Henry,AL,12
Henry,KY,5
Henry,IA,1
Henry,OH,10
Herkimer,NY,32
Hernando,FL,316
Hertford,NC,8
Hickman,TN,8
Hidalgo,NM,3
Hidalgo,TX,51
Highlands,FL,109
Hill,TX,4
Hillsborough,FL,3585
Hillsborough,NH,245
Hillsdale,MI,6
Hinds,MS,140
Hockley,TX,1
Hoke,NC,4
Holmes,FL,26
Holmes,OH,1
Holt,MO,1
Hood,TX,1
Hood River,OR,150
Hopewell,VA,3
Hopkins,TX,1
Horry,SC,1829
Hot Spring,AR,4
Houghton,MI,1
Houston,AL,165
Houston,GA,60
Houston,MN,30
Houston,TX,1
Howard,MD,417
Howard,IN,23
Howard,TX,8
Hubbard,MN,48
Hudson,NJ,727
Hudspeth,TX,1
Huerfano,CO,30
Humboldt,NV,27
Humboldt,CA,466
Humboldt,IA,1
Humphreys,TN,7
Hunt,TX,11
Hunterdon,NJ,101
Huntingdon,PA,38
Huntington,IN,2
Huron,OH,1
Huron,MI,1
Hyde,NC,1
Iberville,LA,16
Ida,IA,1
Idaho,ID,12
Imperial,CA,11
Indian River,FL,45
Indiana,PA,5
Ingham,MI,88
Inyo,CA,109
Ionia,MI,17
Iosco,MI,1
Iowa,IA,7
Iowa,WI,2
Iredell,NC,188
Iron,UT,211
Iroquois,IL,14
Isanti,MN,67
Island,WA,19
Isle of Wight,VA,31
Itasca,MN,110
Itawamba,MS,1
Jackson,IN,14
Jackson,GA,60
Jackson,MO,1091
Jackson,FL,31
Jackson,MS,51
Jackson,OR,1029
Jackson,MI,102
Jackson,AL,9
Jackson,MN,117
Jackson,WI,13
Jackson,OH,3
Jackson,NC,11
Jackson,CO,14
Jackson,IA,3
Jackson,WV,1
James City,VA,32
Jasper,MO,7
Jasper,SC,212
Jasper,IA,29
Jasper,IN,17
Jay,IN,5
Jeff Davis,GA,1
Jefferson,KY,2194
Jefferson,CO,857
Jefferson,OR,222
Jefferson,MO,277
Jefferson,WI,39
Jefferson,LA,383
Jefferson,AL,1342
Jefferson,WA,52
Jefferson,IL,12
Jefferson,FL,30
Jefferson,IA,6
Jefferson,TX,14
Jefferson,TN,10
Jefferson,PA,8
Jefferson,IN,2
Jefferson,AR,11
Jefferson,NY,4
Jefferson,OK,6
Jefferson Davis,LA,10
Jenkins,GA,1
Jerome,ID,7
Jersey,IL,1
Jessamine,KY,1
Jim Hogg,TX,1
Jim Wells,TX,1
Jo Daviess,IL,1
Johnson,KS,568
Johnson,IN,42
Johnson,IA,69
Johnson,IL,7
Johnson,TX,28
Johnson,TN,3
Johnson,GA,1
Johnston,NC,187
Jones,MS,9
Jones,NC,2
Jones,IA,2
Josephine,OR,426
Juab,UT,137
Juneau,WI,4
Juniata,PA,35
Kalamazoo,MI,61
Kanabec,MN,25
Kanawha,WV,23
Kandiyohi,MN,145
Kane,IL,488
Kane,UT,17
Kankakee,IL,18
Kaufman,TX,68
Keith,NE,2
Kendall,IL,16
Kendall,TX,3
Kennebec,ME,18
Kenosha,WI,59
Kent,MI,1253
Kent,RI,195
Kent,MD,7
Kent,DE,69
Kenton,KY,584
Kern,CA,3549
Kerr,TX,4
Kershaw,SC,296
Kewaunee,WI,1
Kimball,NE,3
Kimble,TX,5
King,WA,3566
King and Queen,VA,5
King George,VA,20
King William,VA,3
Kings,NY,1088
Kings,CA,395
Kinney,TX,1
Kiowa,CO,2
Kit Carson,CO,1
Kitsap,WA,115
Kittitas,WA,22
Klamath,OR,753
Kleberg,TX,2
Klickitat,WA,23
Knox,TN,287
Knox,IL,3
Knox,IN,2
Knox,OH,4
Koochiching,MN,21
Kootenai,ID,60
La Crosse,WI,19
La Paz,AZ,25
La Plata,CO,1
La Salle,TX,3
Lac qui Parle,MN,9
Lackawanna,PA,54
Laclede,MO,5
Lafayette,LA,958
Lafayette,MS,30
Lafayette,MO,14
Lafayette,FL,1
Lafourche,LA,4
LaGrange,IN,3
Lake,IL,2021
Lake,IN,592
Lake,FL,236
Lake,CA,353
Lake,OH,110
Lake,CO,12
Lake,OR,171
Lake,MN,9
Lake,MT,2
Lake,MI,1
Lake of the Woods,MN,4
Lamar,MS,31
Lamar,GA,9
Lancaster,PA,1532
Lancaster,SC,261
Lancaster,NE,16
Lancaster,VA,2
Lander,NV,17
Lane,OR,1120
Langlade,WI,1
Lanier,GA,2
Lapeer,MI,11
LaPorte,IN,17
Laramie,WY,3
Larimer,CO,260
Larue,KY,1
Las Animas,CO,38
LaSalle,IL,33
Lassen,CA,214
Latah,ID,2
Lauderdale,AL,11
Lauderdale,MS,9
Laurens,SC,377
Laurens,GA,11
Lawrence,PA,20
Lawrence,AL,11
Lawrence,MO,13
Lawrence,TN,2
Lawrence,AR,3
Lawrence,MS,1
Le Sueur,MN,113
Lea,NM,1
Leavenworth,KS,1
Lebanon,PA,185
Lee,FL,1222
Lee,SC,125
Lee,AL,99
Lee,IL,14
Lee,VA,6
Lee,NC,10
Lee,MS,1
Lee,IA,1
Lee,GA,2
Leelanau,MI,3
Lehigh,PA,258
Lenoir,NC,11
Leon,FL,645
Levy,FL,29
Lewis,WA,56
Lewis,TN,1
Lewis,WV,3
Lewis,NY,2
Lewis and Clark,MT,1
Lexington,SC,1586
Liberty,GA,18
Liberty,FL,8
Liberty,TX,9
Licking,OH,63
Limestone,AL,360
Lincoln,TN,4
Lincoln,NV,11
Lincoln,MO,9
Lincoln,OR,331
Lincoln,NC,27
Lincoln,CO,11
Lincoln,GA,2
Lincoln,WI,3
Lincoln,LA,1
Lincoln,OK,6
Lincoln,MS,1
Lincoln,NE,6
Linn,IA,66
Linn,OR,816
Litchfield,CT,84
Live Oak,TX,1
Livingston,MI,63
Livingston,NY,10
Livingston,LA,60
Livingston,IL,4
Livingston,MO,1
Logan,IL,10
Logan,CO,6
Logan,OH,3
Logan,OK,15
Logan,KS,1
Lonoke,AR,14
Lorain,OH,150
Los Angeles,CA,44427
Loudon,TN,19
Loudoun,VA,431
Louisa,VA,28
Love,OK,1
Lowndes,AL,72
Lowndes,GA,14
Lubbock,TX,5
Lucas,OH,332
Lumpkin,GA,1
Luna,NM,2
Lunenburg,VA,4
Luzerne,PA,122
Lycoming,PA,216
Lynchburg,VA,3
Lyon,NV,66
Lyon,MN,138
Mackinac,MI,1
Macomb,MI,428
Macon,AL,63
Macon,IL,4
Macon,NC,10
Macon,GA,5
Macon-Bibb County,GA,207
Macoupin,IL,5
Madera,CA,842
Madison,AL,1156
Madison,IL,73
Madison,MS,28
Madison,FL,26
Madison,OH,63
Madison,LA,2
Madison,VA,6
Madison,IN,35
Madison,TN,18
Madison,KY,5
Madison,NY,54
Madison,NC,8
Madison,IA,1
Madison,GA,1
Mahaska,IA,8
Mahnomen,MN,21
Mahoning,OH,38
Malheur,OR,355
Manassas,VA,23
Manassas City,VA,1
Manassas Park,VA,4
Manatee,FL,1008
Manistee,MI,4
Manitowoc,WI,2
Marathon,WI,31
Marengo,AL,2
Maricopa,AZ,10410
Marin,CA,1303
Marinette,WI,2
Marion,FL,342
Marion,TN,35
Marion,OR,1078
Marion,IN,1999
Marion,SC,82
Marion,IL,3
Marion,OH,2
Marion,AL,4
Mariposa,CA,120
Marlboro,SC,100
Marquette,WI,1
Marquette,MI,2
Marshall,AL,20
Marshall,MS,4
Marshall,IN,4
Marshall,TN,5
Marshall,IL,1
Marshall,IA,1
Marshall,MN,1
Martin,FL,61
Martin,MN,90
Martin,NC,4
Martinsville,VA,1
Mason,WA,67
Mason,IL,1
Mason,KY,1
Massac,IL,5
Mathews,VA,2
Maury,TN,5
McClain,OK,20
McCormick,SC,25
McDonald,MO,1
McDonough,IL,2
McDowell,NC,49
McDuffie,GA,9
McHenry,IL,68
McIntosh,GA,10
McKean,PA,48
McKinley,NM,4
McLean,IL,12
McLennan,TX,18
McLeod,MN,126
McMinn,TN,15
Mecklenburg,NC,11459
Mecklenburg,VA,30
Medina,OH,70
Medina,TX,1
Meeker,MN,86
Meigs,OH,5
Meigs,TN,1
Menard,TX,1
Mendocino,CA,480
Menominee,MI,1
Merced,CA,991
Mercer,NJ,479
Mercer,WV,4
Mercer,PA,8
Meriwether,GA,15
Merrimack,NH,183
Mesa,CO,23
Miami,OH,19
Miami,KS,2
Miami-Dade,FL,4372
Middlesex,CT,202
Middlesex,MA,1681
Middlesex,NJ,1013
Middlesex,VA,5
Midland,MI,16
Midland,TX,2
Mifflin,PA,45
Millard,UT,96
Mille Lacs,MN,108
Miller,GA,1
Mills,IA,2
Milwaukee,WI,1067
Mineral,NV,18
Mineral,MT,1
Minidoka,ID,2
Minnehaha,SD,1
Mississippi,AR,4
Missoula,MT,2
Mitchell,TX,9
Mitchell,NC,6
Mitchell,GA,3
Mobile,AL,763
Modoc,CA,65
Moffat,CO,4
Mohave,AZ,66
Monmouth,NJ,470
Mono,CA,127
Monongalia,WV,1
Monroe,NY,4327
Monroe,PA,86
Monroe,TN,3
Monroe,AL,5
Monroe,WI,25
Monroe,GA,92
Monroe,FL,52
Monroe,MI,87
Monroe,IN,14
Monroe,IA,1
Montcalm,MI,3
Monterey,CA,1627
Montezuma,CO,4
Montgomery,AL,1171
Montgomery,TX,105
Montgomery,PA,3936
Montgomery,MD,2085
Montgomery,OH,2201
Montgomery,VA,42
Montgomery,TN,24
Montgomery,NC,13
Montgomery,IL,11
Montgomery,NY,83
Montgomery,GA,2
Montgomery,IN,10
Montgomery,MO,1
Montmorency,MI,1
Montour,PA,47
Moore,NC,9
Mora,NM,2
Morgan,AL,167
Morgan,UT,100
Morgan,GA,19
Morgan,CO,11
Morgan,IL,3
Morgan,IN,4
Morris,NJ,344
Morris,TX,2
Morrison,MN,66
Morrow,OH,6
Morrow,OR,122
Mower,MN,98
Muhlenberg,KY,1
Multnomah,OR,4033
Murray,MN,31
Murray,GA,2
Muscogee,GA,100
Muskegon,MI,26
Muskingum,OH,3
Muskogee,OK,1
Napa,CA,677
Nash,NC,54
Nassau,NY,1824
Nassau,FL,69
Natrona,WY,1
Navajo,AZ,39
Navarro,TX,2
Nelson,VA,10
Nevada,CA,637
New Castle,DE,1188
New Hanover,NC,42
New Haven,CT,690
New Kent,VA,104
New London,CT,121
New Madrid,MO,2
New York,NY,1263
Newberry,SC,243
Newport,RI,6
Newport News,VA,209
Newton,GA,34
Newton,MO,3
Newton,MS,2
Newton,IN,3
Nez Perce,ID,3
Niagara,NY,116
Nicollet,MN,176
Nobles,MN,123
Nolan,TX,1
Norfolk,VA,523
Norfolk,MA,849
Northampton,PA,153
Northampton,VA,3
Northampton,NC,5
Northumberland,PA,101
Northumberland,VA,2
Nottoway,VA,15
Noxubee,MS,1
Nueces,TX,6
Nye,NV,5
Oakland,MI,817
Obion,TN,1
Ocean,NJ,379
Oceana,MI,2
Oconee,SC,538
Oconee,GA,5
Oconto,WI,2
Ogemaw,MI,3
Ogle,IL,18
Oglethorpe,GA,2
Ohio,WV,6
Ohio,IN,2
Ohio,KY,1
Okaloosa,FL,179
Okanogan,WA,1
Okeechobee,FL,12
Oklahoma,OK,5530
Okmulgee,OK,2
Oktibbeha,MS,3
Oldham,KY,10
Olmsted,MN,311
Oneida,NY,351
Oneida,WI,1
Onondaga,NY,1496
Onslow,NC,14
Ontario,NY,109
Ontonagon,MI,1
Orange,CA,9135
Orange,NY,287
Orange,FL,3831
Orange,NC,86
Orange,TX,5
Orange,VT,11
Orange,VA,21
Orangeburg,SC,531
Orleans,LA,1933
Orleans,VT,6
Orleans,NY,9
Osage,OK,6
Osceola,FL,664
Osceola,MI,5
Osceola,IA,3
Oscoda,MI,1
