City,County,State,Accidents
Alexandria Bay,Jefferson,NY,2
Alford,Jackson,FL,7
Alger,Arenac,MI,1
Algodones,Sandoval,NM,4
Algona,King,WA,2
Algonquin,McHenry,IL,6
Algonquin,Kane,IL,1
Alhambra,Los Angeles,CA,507
Alice,Jim Wells,TX,2
Aliceville,Pickens,AL,2
Aliquippa,Beaver,PA,11
Aliso Viejo,Orange,CA,13
Alledonia,Belmont,OH,3
Allegan,Allegan,MI,2
Allegany,Cattaraugus,NY,5
Allen,Collin,TX,76
Allen Park,Wayne,MI,100
Allendale,Allendale,SC,17
Allendale,Ottawa,MI,15
Allenstown,Merrimack,NH,5
Allenton,Washington,WI,11
Allentown,Lehigh,PA,248
Allentown,Monmouth,NJ,14
Allentown,Northampton,PA,3
Allenwood,Lycoming,PA,2
Allenwood,Union,PA,1
Alleyton,Colorado,TX,2
Alliance,Stark,OH,5
Allison Park,Allegheny,PA,17
Allston,Suffolk,MA,69
Allyn,Mason,WA,2
Alma,Marion,IL,1
Alma,Gratiot,MI,1
Alma,Crawford,AR,5
Alma,Bacon,GA,1
Almond,Graham,NC,1
Almont,Lapeer,MI,4
Alpena,Alpena,MI,4
Alpha,Warren,NJ,1
Alpha,Jackson,MN,4
Alpha,Greene,OH,2
Alpharetta,Fulton,GA,311
Alpharetta,Forsyth,GA,24
Alpine,Utah,UT,1
Alpine,Bergen,NJ,15
Alpine Meadows,Placer,CA,5
Alsea,Lincoln,OR,15
Alsea,Benton,OR,12
Alsip,Cook,IL,56
Alstead,Cheshire,NH,1
Alta,Placer,CA,86
Alta,Buena Vista,IA,1
Altadena,Los Angeles,CA,159
Altamont,Albany,NY,7
Altamont,Schenectady,NY,2
Altamont,Effingham,IL,6
Altamonte Springs,Seminole,FL,221
Altavista,Campbell,VA,14
Altha,Calhoun,FL,4
Alto,Habersham,GA,7
Alto,Hall,GA,3
Alto,Lincoln,NM,2
Alto,Banks,GA,1
Alto,Kent,MI,1
Alto Pass,Union,IL,4
Alton,Madison,IL,1
Alton,Sioux,IA,6
Alton,Kane,UT,18
Alton,Halifax,VA,5
Alton,Belknap,NH,3
Alton Bay,Belknap,NH,3
Altoona,Blount,AL,58
Altoona,Blair,PA,27
Altoona,Polk,IA,63
Altoona,Lake,FL,5
Altoona,Etowah,AL,6
Altoona,Eau Claire,WI,6
Altura,Winona,MN,3
Altura,Wabasha,MN,1
Alturas,Modoc,CA,16
Alum Bank,Bedford,PA,2
Alum Creek,Kanawha,WV,1
Alva,Lee,FL,46
Alva,Woods,OK,1
Alvarado,Johnson,TX,8
Alverton,Westmoreland,PA,1
Alvin,Brazoria,TX,1
Alviso,Santa Clara,CA,14
Amagansett,Suffolk,NY,2
Amana,Iowa,IA,2
Amanda,Fairfield,OH,1
Amargosa Valley,Nye,NV,2
Amarillo,Randall,TX,4
Amarillo,Potter,TX,7
Amawalk,Westchester,NY,6
Amberg,Marinette,WI,1
Ambler,Montgomery,PA,212
Amboy,Clark,WA,1
Amboy,Blue Earth,MN,4
Ambridge,Allegheny,PA,1
Ambridge,Beaver,PA,3
Ambrose,Coffee,GA,1
Amelia Court House,Amelia,VA,48
Amenia,Dutchess,NY,12
American Canyon,Napa,CA,97
American Canyon,Solano,CA,91
American Falls,Power,ID,5
American Fork,Utah,UT,161
American Fork-Pleasant Grove,Utah,UT,1
Americus,Sumter,GA,4
Ames,Story,IA,35
Amesbury,Essex,MA,29
Amherst,Amherst,VA,16
Amherst,Lorain,OH,10
Amherst,Lamb,TX,1
Amherst,Hillsborough,NH,5
Amherst,Portage,WI,1
Amherst,Hancock,ME,1
Amissville,Culpeper,VA,4
Amissville,Rappahannock,VA,2
Amity,Washington,PA,6
Amity,Yamhill,OR,47
Amity,Polk,OR,1
Amityville,Suffolk,NY,73
Amma,Roane,WV,1
Amsterdam,Montgomery,NY,44
Amsterdam,Saratoga,NY,5
Amsterdam,Fulton,NY,2
Anaconda,Deer Lodge,MT,1
Anacortes,Skagit,WA,18
Anadarko,Caddo,OK,2
Anaheim,Orange,CA,2845
Anaheim-Santa Ana-Garden Grove,Orange,CA,3
Anahuac,Chambers,TX,1
Anamosa,Jones,IA,4
Anatone,Asotin,WA,3
Ancram,Columbia,NY,20
Ancramdale,Columbia,NY,3
Andalusia,Covington,AL,13
Anderson,Anderson,SC,1675
Anderson,Limestone,AL,1
Anderson,Shasta,CA,92
Anderson,Madison,IN,62
Andersonville,Anderson,TN,3
Andersonville,Union,TN,1
Andes,Delaware,NY,3
Andover,Essex,MA,283
Andover,Sussex,NJ,11
Andover,Tolland,CT,5
Andover,Warren,NJ,3
Andover,Anoka,MN,2
Andrews,Williamsburg,SC,48
Andrews,Georgetown,SC,39
Andrews,Cherokee,NC,1
Andrews,Huntington,IN,4
Andrews Air Force Base,Prince George's,MD,13
Aneth,San Juan,UT,7
Angel Fire,Colfax,NM,2
Angels Camp,Calaveras,CA,43
Angier,Harnett,NC,6
Angier,Wake,NC,3
Angier,Johnston,NC,2
Angleton,Brazoria,TX,17
Angola,Erie,NY,2
Angola,Steuben,IN,2
Angora,St. Louis,MN,5
Angwin,Napa,CA,9
Anita,Cass,IA,6
Ankeny,Polk,IA,114
Ann Arbor,Washtenaw,MI,296
Anna,Union,IL,2
Anna,Shelby,OH,3
Anna,Collin,TX,8
Annada,Pike,MO,1
Annandale,Fairfax County,VA,189
Annandale,Hunterdon,NJ,33
Annandale,Fairfax,VA,2
Annandale,Wright,MN,7
Annapolis,Anne Arundel,MD,248
Annapolis,Sonoma,CA,8
Annapolis Junction,Anne Arundel,MD,25
Annapolis Junction,Howard,MD,4
Anniston,Calhoun,AL,31
Annville,Lebanon,PA,31
Anoka,Anoka,MN,90
Ansonia,New Haven,CT,11
Antelope,Sacramento,CA,172
Antelope,Wasco,OR,41
Anthem,Maricopa,AZ,6
Anthony,Marion,FL,3
Antimony,Garfield,UT,1
Antioch,Contra Costa,CA,292
Antioch,Davidson,TN,1105
Antioch,Lake,IL,130
Anton Chico,Guadalupe,NM,1
Antrim,Hillsborough,NH,4
Antrim,Franklin,PA,2
Apache Junction,Pinal,AZ,64
Apache Junction,Maricopa,AZ,7
Apalachicola,Franklin,FL,1
Apex,Wake,NC,504
Apex,Chatham,NC,6
Apison,Hamilton,TN,2
Apollo,Westmoreland,PA,7
Apollo,Armstrong,PA,1
Apollo Beach,Hillsborough,FL,86
Apopka,Orange,FL,179
Apopka,Seminole,FL,10
Appalachia,Wise,VA,3
Apple Valley,San Bernardino,CA,96
Apple Valley,Washington,UT,16
Applegate,Placer,CA,21
Appleton,Outagamie,WI,108
Appleton,Calumet,WI,9
Appleton,Winnebago,WI,4
Appleton,Niagara,NY,2
Appleton,Swift,MN,1
Appling,Columbia,GA,7
Appomattox,Appomattox,VA,16
Aptos,Santa Cruz,CA,215
Arab,Cullman,AL,5
Arab,Marshall,AL,3
Arab,Blount,AL,1
Arabi,Crisp,GA,4
Aragon,Polk,GA,3
Arapahoe,Furnas,NE,1
Ararat,Patrick,VA,1
Arbuckle,Colusa,CA,35
Arcadia,Los Angeles,CA,290
Arcadia,Bienville,LA,7
Arcadia,DeSoto,FL,13
Arcadia West,DeSoto,FL,1
Arcanum,Darke,OH,3
Arcata,Humboldt,CA,41
Arch Cape,Clatsop,OR,16
Archbald,Lackawanna,PA,1
Archbold,Fulton,OH,1
Archer,Alachua,FL,2
Archer,Levy,FL,1
Arden,Buncombe,NC,72
Ardmore,Montgomery,PA,65
Ardmore,Lincoln,TN,2
Ardmore,Madison,AL,6
Ardmore,Limestone,AL,26
Ardmore,Carter,OK,6
Ardmore,Delaware,PA,1
Ardmore,Giles,TN,6
Ardsley,Westchester,NY,43
Argos,Fulton,IN,1
Argyle,Washington,NY,8
Argyle,Denton,TX,19
Ariel,Cowlitz,WA,5
Arimo,Bannock,ID,1
Ariton,Dale,AL,5
Arkadelphia,Clark,AR,9
Arkadelphia,Hot Spring,AR,1
Arkdale,Adams,WI,4
Arlee,Lake,MT,1
Arlee,Missoula,MT,1
Arleta,Los Angeles,CA,23
Arlington,Snohomish,WA,158
Arlington,Arlington,VA,510
Arlington,Tarrant,TX,565
Arlington,Gilliam,OR,274
Arlington,Shelby,TN,95
Arlington,Middlesex,MA,21
Arlington,Fayette,TN,5
Arlington,Sibley,MN,6
Arlington,Kiowa,CO,2
Arlington,Maricopa,AZ,2
Arlington,Columbia,WI,10
Arlington,Rush,IN,1
Arlington,Bennington,VT,1
Arlington,Calhoun,GA,2
Arlington,Brookings,SD,1
Arlington,Alexandria,VA,1
Arlington Heights,Cook,IL,43
Armagh,Indiana,PA,1
Armington,Tazewell,IL,1
Armona,Kings,CA,10
Armonk,Westchester,NY,81
Arnold,Jefferson,MO,106
Arnold,Calaveras,CA,29
Arnold,Anne Arundel,MD,8
Arnold,Alpine,CA,7
Arnold,Custer,NE,1
Aromas,San Benito,CA,36
Aromas,Monterey,CA,50
Arriba,Lincoln,CO,2
Arrington,Nelson,VA,9
Arrington,Rutherford,TN,6
Arrington,Williamson,TN,3
Arroyo Grande,San Luis Obispo,CA,136
Artesia,Los Angeles,CA,181
Artesia,Eddy,NM,1
Arundel,York,ME,1
Arvada,Jefferson,CO,175
Arvada,Adams,CO,18
Arverne,Queens,NY,4
Arvin,Kern,CA,70
Asbury,Hunterdon,NJ,36
Asbury,Greenbrier,WV,1
Asbury Park,Monmouth,NJ,12
Ash,Brunswick,NC,1
Ash Fork,Yavapai,AZ,24
Ash Grove,Lawrence,MO,2
Ash Grove,Greene,MO,3
Ashaway,Washington,RI,8
Ashburn,Loudoun,VA,210
Ashburn,Turner,GA,9
Ashburn,Worth,GA,1
Ashburnham,Worcester,MA,1
Ashby,Middlesex,MA,3
Ashby,Grant,MN,19
Asheboro,Randolph,NC,12
Asheville,Buncombe,NC,300
Ashford,Houston,AL,5
Ashford,Windham,CT,9
Ashford,Pierce,WA,2
Ashkum,Iroquois,IL,4
Ashland,Hanover,VA,129
Ashland,Cass,NE,4
Ashland,Jackson,OR,474
Ashland,Columbia,PA,3
Ashland,Schuylkill,PA,6
Ashland,Middlesex,MA,2
Ashland,Benton,MS,1
Ashland,Clay,AL,1
Ashland,Ashland,OH,3
Ashland,Boyd,KY,2
Ashland,Grafton,NH,6
Ashland,Boone,MO,1
Ashland,Aroostook,ME,1
Ashland,Ashland,WI,1
Ashland City,Davidson,TN,3
Ashland City,Cheatham,TN,1
Ashley,Delaware,OH,6
Ashley,DeKalb,IN,2
Ashley,Luzerne,PA,1
Ashley Falls,Berkshire,MA,1
Ashton,Montgomery,MD,1
Ashton,Osceola,IA,2
Ashton,Fremont,ID,2
Ashville,Cambria,PA,6
Ashville,Pickaway,OH,4
Ashville,St. Clair,AL,8
Ashville,Fairfield,OH,1
Ashville,Chautauqua,NY,1
Askov,Pine,MN,6
Aspen,Pitkin,CO,1
Aspers,Adams,PA,2
Aspinwall,Allegheny,PA,1
Assaria,Saline,KS,1
Assonet,Bristol,MA,15
Aston,Delaware,PA,14
Astor,Lake,FL,8
Astor,Volusia,FL,1
Astoria,Queens,NY,169
Astoria,Clatsop,OR,263
Atalissa,Cedar,IA,6
Atascadero,San Luis Obispo,CA,128
Atascosa,Bexar,TX,5
Atco,Camden,NJ,6
Atglen,Chester,PA,2
Athena,Umatilla,OR,11
Athens,Limestone,AL,308
Athens,McMinn,TN,12
Athens,Henderson,TX,1
Athens,Clarke,GA,13
Athens,Athens,OH,2
Athens,Bradford,PA,1
Athens,Jackson,GA,4
Athens,Calhoun,MI,1
Athens,Oconee,GA,1
Athens,Greene,NY,1
Athens,Marathon,WI,1
Atherton,San Mateo,CA,21
Athol,Kootenai,ID,3
Athol,Worcester,MA,1
Atkins,Smyth,VA,6
Atkins,Pope,AR,3
Atkins,Conway,AR,2
Atkinson,Rockingham,NH,2
Atkinson,Pender,NC,1
Atlanta,Fulton,GA,7195
Atlanta,DeKalb,GA,1591
Atlanta,Clayton,GA,341
Atlanta,Cobb,GA,569
Atlanta,Madison,IN,1
Atlanta,Hamilton,IN,2
Atlanta,Gwinnett,GA,1
Atlanta,Cass,TX,1
Atlanta,Logan,IL,3
Atlanta-Decatur,DeKalb,GA,7
Atlantic,Cass,IA,4
Atlantic,Dare,NC,1
Atlantic Beach,Duval,FL,9
Atlantic Beach,Horry,SC,1
Atlantic City,Atlantic,NJ,47
Atlantic Highlands,Monmouth,NJ,3
Atmore,Escambia,AL,18
Atoka,Shelby,TN,6
Attalla,Etowah,AL,34
Attapulgus,Decatur,GA,1
Attica,Fountain,IN,3
Attica,Warren,IN,6
Attleboro,Bristol,MA,70
Attleboro Falls,Bristol,MA,34
Atwater,Merced,CA,118
Atwater,Kandiyohi,MN,6
Atwood,Logan,CO,3
Atwood,Carroll,TN,2
Au Gres,Arenac,MI,1
Auberry,Fresno,CA,5
Aubrey,Denton,TX,2
Auburn,Rockingham,NH,21
Auburn,King,WA,203
Auburn,Placer,CA,268
Auburn,Worcester,MA,65
Auburn,Lee,AL,61
Auburn,Pierce,WA,3
Auburn,Barrow,GA,3
Auburn,Nevada,CA,7
Auburn,Androscoggin,ME,3
Auburn,DeKalb,IN,4
Auburn,Nemaha,NE,3
Auburn,Bay,MI,5
Auburn,Cayuga,NY,7
Auburn Hills,Oakland,MI,104
Auburndale,Middlesex,MA,25
Auburndale,Polk,FL,14
Auburndale,Wood,WI,1
Audubon,Camden,NJ,3
Audubon,Becker,MN,8
Audubon,Audubon,IA,1
Augusta,Richmond,GA,2072
Augusta,Columbia,GA,40
Augusta,Kennebec,ME,29
Augusta,Kalamazoo,MI,2
Augusta,Sussex,NJ,1
Augusta,St. Charles,MO,2
Augusta,Lewis and Clark,MT,2
Aulander,Bertie,NC,4
Ault,Weld,CO,4
Aumsville,Marion,OR,50
Aurelia,Buena Vista,IA,1
Aurora,Arapahoe,CO,888
Aurora,Adams,CO,313
Aurora,Hamilton,NE,3
Aurora,Denver,CO,9
Aurora,Kane,IL,31
Aurora,Dearborn,IN,13
Aurora,DuPage,IL,24
Aurora,Geauga,OH,1
Aurora,Marion,OR,150
Aurora,Portage,OH,3
Aurora,Beaufort,NC,2
Aurora,Clackamas,OR,145
Aurora,St. Louis,MN,2
Austell,Cobb,GA,167
Austell,Douglas,GA,5
Austerlitz,Columbia,NY,8
Austin,Travis,TX,15897
Austin,Williamson,TX,648
Austin,Hays,TX,5
Austin,Scott,IN,7
Austin,Mower,MN,58
Austin,Lander,NV,12
Austin,Potter,PA,4
Austin,Freeborn,MN,3
Austin,Lonoke,AR,4
Austinville,Wythe,VA,11
Austinville,Carroll,VA,14
Autaugaville,Autauga,AL,6
Autryville,Sampson,NC,1
Ava,Oneida,NY,4
Avalon,Rock,WI,1
Avalon-Mulat,Santa Rosa,FL,1
Avella,Washington,PA,1
Avenal,Kings,CA,33
Avenel,Middlesex,NJ,11
Aventura,Miami-Dade,FL,1
Avera,Jefferson,GA,1
Averill Park,Rensselaer,NY,30
Avila Beach,San Luis Obispo,CA,3
Avoca,Pottawattamie,IA,8
Avoca,Murray,MN,3
Avoca,Shelby,IA,1
Avon,Stearns,MN,34
Avon,Lorain,OH,13
Avon,Norfolk,MA,32
Avon,Eagle,CO,13
Avon,Hendricks,IN,6
Avon,Livingston,NY,2
Avon,Fulton,IL,1
Avon,Hartford,CT,1
Avon Park,Highlands,FL,19
Avondale,Maricopa,AZ,386
Avondale,Chester,PA,6
Avondale Estates,DeKalb,GA,17
Avonmore,Westmoreland,PA,2
Awendaw,Charleston,SC,2
Axis,Mobile,AL,5
Axson,Atkinson,GA,3
Axtell,Sanpete,UT,5
Axton,Pittsylvania,VA,4
Axton,Henry,VA,5
Ayden,Greene,NC,1
Ayden,Pitt,NC,2
Ayer,Middlesex,MA,3
Aylett,King William,VA,8
Aynor,Horry,SC,79
Azalea,Douglas,OR,57
Aztec,San Juan,NM,1
Azusa,Los Angeles,CA,538
Babson Park,Polk,FL,3
Babylon,Nassau,NY,15
Babylon,Suffolk,NY,25
Backus,Cass,MN,16
Baconton,Mitchell,GA,4
Baden,Allegheny,PA,1
Baden,Beaver,PA,2
Badger,Tulare,CA,4
Baggs,Carbon,WY,2
Bagley,Clearwater,MN,5
Bailey,Park,CO,32
Bailey,Nash,NC,1
Baileyton,Cullman,AL,5
Bainbridge,Chenango,NY,1
Bainbridge,Lancaster,PA,8
Bainbridge,Otsego,NY,1
Bainbridge,Decatur,GA,4
Baird,Callahan,TX,1
Baker,East Baton Rouge,LA,173
Baker,Okaloosa,FL,8
Baker,White Pine,NV,2
Baker City,Baker,OR,211
Bakers Mills,Warren,NY,4
Bakersfield,Kern,CA,2088
Bakerstown,Allegheny,PA,2
Bakersville,Mitchell,NC,1
Bal Harbour,Miami-Dade,FL,2
Bala Cynwyd,Montgomery,PA,155
Balaton,Lyon,MN,4
Balch Springs,Dallas,TX,150
Bald Knob,White,AR,2
Baldwin,Nassau,NY,46
Baldwin,St. Croix,WI,14
Baldwin,Duval,FL,4
Baldwin,Baltimore County,MD,3
Baldwin,Habersham,GA,2
Baldwin,Harford,MD,1
Baldwin Park,Los Angeles,CA,1401
Baldwinsville,Onondaga,NY,5
Ball Ground,Cherokee,GA,15
Ballard,Uintah,UT,6
Ballico,Merced,CA,9
Ballston Lake,Saratoga,NY,35
Ballston Spa,Saratoga,NY,190
Ballwin,St. Louis County,MO,27
Balmorhea,Reeves,TX,1
Baltic,New London,CT,1
Baltic,Windham,CT,1
Baltimore,Baltimore City,MD,1010
Baltimore,Baltimore County,MD,64
Baltimore,Anne Arundel,MD,13
Baltimore,Fairfield,OH,5
Bamberg,Bamberg,SC,35
Bancroft,Portage,WI,9
Bancroft,Shiawassee,MI,7
Bandon,Coos,OR,105
Bangor,Northampton,PA,2
Bangor,Butte,CA,1
Bangor,Penobscot,ME,30
Bangor,Van Buren,MI,4
Banks,Pike,AL,11
Banks,Bullock,AL,1
Banks,Washington,OR,80
Banks,Boise,ID,1
Bankston,Fayette,AL,1
Banner,Lafayette,MS,1
Banner Elk,Watauga,NC,2
Bantam,Litchfield,CT,1
Bar Harbor,Hancock,ME,1
Baraboo,Sauk,WI,21
Barberton,Summit,OH,22
Barboursville,Albemarle,VA,5
Barboursville,Greene,VA,2
Barboursville,Cabell,WV,10
Barboursville,Orange,VA,2
Barclay,Queen Anne's,MD,3
Barco,Currituck,NC,3
Bardonia,Rockland,NY,1
Barhamsville,New Kent,VA,6
Barker,Niagara,NY,7
Barkhamsted,Litchfield,CT,8
Barksdale AFB,Bossier,LA,15
Barnegat,Ocean,NJ,6
Barnesville,Monroe,GA,10
Barnesville,Schuylkill,PA,6
Barnesville,Clay,MN,2
Barnesville,Lamar,GA,4
Barneveld,Oneida,NY,3
Barney,Brooks,GA,4
Barnhart,Jefferson,MO,16
Barnhill,Wayne,IL,1
Barnstable,Barnstable,MA,4
Barnum,Carlton,MN,25
Barnwell,Barnwell,SC,38
Barre,Washington,VT,1
Barre,Worcester,MA,1
Barrett,Grant,MN,7
Barrington,Camden,NJ,65
Barrington,Lake,IL,203
Barrington,Cook,IL,27
Barrington,Bristol,RI,1
Barrington,Strafford,NH,2
Barry,Pike,IL,2
Barryville,Sullivan,NY,3
Barstow,San Bernardino,CA,94
Barstow,Ward,TX,1
Bartlett,DuPage,IL,86
Bartlett,Cook,IL,48
Bartlett,Williamson,TX,1
Bartlett,Carroll,NH,1
Barto,Montgomery,PA,2
Barto,Berks,PA,2
Barton,Washington,WI,2
Barton City,Alcona,MI,2
Bartonsville,Monroe,PA,1
Bartow,Polk,FL,17
Bartow,Jefferson,GA,2
Basalt,Eagle,CO,1
Baskerville,Mecklenburg,VA,2
Basking Ridge,Somerset,NJ,31
Basom,Genesee,NY,2
Bass Lake,Madera,CA,6
Bassett,Henry,VA,23
Bassett,Franklin County,VA,1
Bassett,Mississippi,AR,1
Bastian,Bland,VA,4
Bastrop,Bastrop,TX,4
Bastrop,Morehouse,LA,1
Batavia,Genesee,NY,72
Batavia,Kane,IL,9
Batavia,Clermont,OH,4
Batavia,Jefferson,IA,1
Bates,Grant,OR,12
Bates City,Lafayette,MO,7
Batesburg,Aiken,SC,16
Batesburg,Saluda,SC,35
Batesburg,Lexington,SC,33
Batesland,Oglala Lakota,SD,1
Batesville,Panola,MS,6
Batesville,Ripley,IN,4
Batesville,Independence,AR,2
Batesville,Franklin,IN,6
Bath,Grafton,NH,3
Bath,Steuben,NY,5
Bath,Northampton,PA,2
Bath,Clinton,MI,4
Bath,Sagadahoc,ME,3
Baton Rouge,East Baton Rouge,LA,11314
Battle Creek,Calhoun,MI,94
Battle Creek,Barry,MI,2
Battle Ground,Clark,WA,24
Battle Lake,Otter Tail,MN,5
Battle Mountain,Lander,NV,13
Battleboro,Nash,NC,6
Battlefield,Greene,MO,2
Baudette,Koochiching,MN,3
Baudette,Lake of the Woods,MN,2
Baxley,Appling,GA,4
Baxter,Crow Wing,MN,18
Baxter,Putnam,TN,4
Bay City,Bay,MI,70
Bay City,Tillamook,OR,32
Bay Minette,Baldwin,AL,38
Bay Point,Contra Costa,CA,62
Bay Saint Louis,Hancock,MS,32
Bay Shore,Suffolk,NY,241
Bay Village,Cuyahoga,OH,1
Bayfield,La Plata,CO,3
Bayonne,Hudson,NJ,39
Bayou La Batre,Mobile,AL,1
Bayport,Washington,MN,17
Bayport,Suffolk,NY,22
Bayside,Queens,NY,79
Bayside,Humboldt,CA,3
Baytown,Harris,TX,83
Baytown,Chambers,TX,7
Bayville,Ocean,NJ,11
Bayville,Nassau,NY,1
Beach Haven,Ocean,NJ,1
Beach Park,Lake,IL,33
Beachwood,Cuyahoga,OH,18
Beachwood,Ocean,NJ,1
Beacon,Dutchess,NY,138
Beacon Falls,New Haven,CT,5
Bealeton,Fauquier,VA,25
Bean Station,Grainger,TN,1
Bear,New Castle,DE,68
Bear Creek,Chatham,NC,2
Bear Creek,Marion,AL,1
Bear Lake,Manistee,MI,1
Bear Mountain,Rockland,NY,2
Bearden,Ouachita,AR,1
Beasley,Fort Bend,TX,3
Beatrice,Gage,NE,2
Beatrice,Monroe,AL,1
Beatty,Klamath,OR,30
Beattyville,Lee,KY,1
Beaufort,Beaufort,SC,357
Beaumont,Jefferson,TX,13
Beaver,Beaver,UT,128
Beaver,Beaver,PA,3
Beaver,Clallam,WA,1
Beaver City,Furnas,NE,1
Beaver Crossing,Seward,NE,1
Beaver Dam,Dodge,WI,4
Beaver Falls,Beaver,PA,7
Beaver Springs,Snyder,PA,1
Beavercreek,Greene,OH,2
Beaverdam,Hanover,VA,1
Beaverton,Washington,OR,284
Beavertown,Snyder,PA,2
Bechtelsville,Berks,PA,1
Becker,Sherburne,MN,23
Becket,Berkshire,MA,4
Beckley,Raleigh,WV,4
Beckwourth,Plumas,CA,11
Bedford,Hillsborough,NH,68
Bedford,Bedford County,VA,31
Bedford,Bedford,PA,43
Bedford,Tarrant,TX,83
Bedford,Cuyahoga,OH,65
Bedford,Middlesex,MA,22
Bedford,Westchester,NY,5
Bedford Hills,Westchester,NY,8
